compound,model_family,strategy,omics_layer,fold,n_train,n_test,pearson,spearman,rmse,mae,r2
KX2-391,RidgeCV,pathway_modules_lineage,multiomics_pathway,3,284,71,0.39941616109017536,0.2469818913480885,0.16734609598324485,0.1334619559522944,0.03772898547750325
KX2-391,RidgeCV,pathway_modules_lineage,multiomics_pathway,4,284,71,0.5676800528819926,0.5480214621059691,0.16266782965461454,0.12159124274872508,0.31490760089210645
KX2-391,RidgeCV,pathway_modules_lineage,multiomics_pathway,5,284,71,0.6169808632952383,0.53682092555332,0.17681176253855765,0.14230106256273856,0.2740883053848977
ML210,RidgeCV,pathway_modules_lineage,multiomics_pathway,1,256,64,0.49412693202335906,0.48613193835531976,0.18626235321155551,0.16231148767662665,0.22131780356732245
ML210,RidgeCV,pathway_modules_lineage,multiomics_pathway,2,256,64,0.5055049792165659,0.476602564102564,0.1807861669517632,0.15474423254239306,0.21375993452578868
ML210,RidgeCV,pathway_modules_lineage,multiomics_pathway,3,256,64,0.5497177082930043,0.4796987145313655,0.19274124213745172,0.16478804789183177,0.24769627381087844
ML210,RidgeCV,pathway_modules_lineage,multiomics_pathway,4,256,64,0.6174839654981981,0.6243159743258685,0.16533220030159274,0.13636477075801218,0.35741609219362724
ML210,RidgeCV,pathway_modules_lineage,multiomics_pathway,5,256,64,0.3387379736541383,0.34093406593406594,0.20367661814592014,0.17281556684514554,0.08343899645232244
CAY10618,RidgeCV,pathway_modules_lineage,multiomics_pathway,1,293,74,0.3085077502082751,0.34172781732012225,0.1805655071699881,0.14087173927934282,0.019170874222672385
CAY10618,RidgeCV,pathway_modules_lineage,multiomics_pathway,2,293,74,0.44426411220100714,0.5144020733061828,0.17386674164584034,0.1392550485969361,0.13638296855049425
CAY10618,RidgeCV,pathway_modules_lineage,multiomics_pathway,3,294,73,0.44937916772865294,0.4833544169404413,0.16980848887245897,0.14108415802470958,0.20079781506884953
CAY10618,RidgeCV,pathway_modules_lineage,multiomics_pathway,4,294,73,0.2917295788884069,0.29455140071578434,0.16055724590916925,0.12799337881920317,0.06447011513996836
CAY10618,RidgeCV,pathway_modules_lineage,multiomics_pathway,5,294,73,0.5134482200192385,0.5348944835246207,0.15667007610738168,0.12665138102611267,0.25675572636679844
Parbendazole,RidgeCV,pathway_modules_lineage,multiomics_pathway,1,284,72,0.5138255707784478,0.46849222707729404,0.17421641728894097,0.13976530744750437,0.24427577565412917
Parbendazole,RidgeCV,pathway_modules_lineage,multiomics_pathway,2,285,71,0.4577658891440277,0.3604825660972266,0.1692812784466507,0.14354247906879905,0.16621508468030555
Parbendazole,RidgeCV,pathway_modules_lineage,multiomics_pathway,3,285,71,0.6161569812454151,0.566599597585513,0.1355505036155357,0.10576888688041428,0.3695914599357094
Parbendazole,RidgeCV,pathway_modules_lineage,multiomics_pathway,4,285,71,0.5228581850804187,0.4616184314611603,0.15740205145045313,0.12264604901136174,0.2726324158834671
Parbendazole,RidgeCV,pathway_modules_lineage,multiomics_pathway,5,285,71,0.6955026353443688,0.5836016096579476,0.1398261930705534,0.11611553242969706,0.43060433802124876
Clofarabine,RidgeCV,pathway_modules_lineage,multiomics_pathway,1,264,66,0.5551482431527445,0.2860035486901159,0.1821209359466695,0.14760537867080187,0.2599849806015875
Clofarabine,RidgeCV,pathway_modules_lineage,multiomics_pathway,2,264,66,0.5980656286534346,0.5576094104197937,0.1587899246503151,0.12889310461883116,0.332783603316419
