k_features,compound,model_family,strategy,omics_layer,fold,n_train,n_test,pearson,spearman,rmse,mae,r2
500,KX2-391,RidgeSelectK,early_fusion,multiomics,5,284,71,0.5563575582559535,0.6198859825620388,0.18382541999257573,0.1427201282814654,0.21535606889062564
1000,KX2-391,RidgeSelectK,early_fusion,multiomics,1,284,71,0.46825462448287786,0.38192488262910795,0.1573673872025048,0.12609990935008497,0.10282970460909713
1000,KX2-391,RidgeSelectK,early_fusion,multiomics,2,284,71,0.6649883109479292,0.65094442443958,0.15910459294170032,0.1253270316091287,0.4306166650829183
1000,KX2-391,RidgeSelectK,early_fusion,multiomics,3,284,71,0.4625165613455573,0.3402079141515761,0.16515047674874753,0.13343328199114698,0.06281377340149097
1000,KX2-391,RidgeSelectK,early_fusion,multiomics,4,284,71,0.4625428450410166,0.4968812877263581,0.184567278933186,0.13861757635311736,0.11802713522551689
1000,KX2-391,RidgeSelectK,early_fusion,multiomics,5,284,71,0.5366197594840607,0.5822602280348759,0.18298795045433477,0.14584880617946616,0.22248912537081034
250,ML210,RidgeSelectK,single_omics,expr,1,256,64,0.527307934499524,0.5252807381381018,0.18376917517194297,0.1536385351855571,0.24202408424703503
250,ML210,RidgeSelectK,single_omics,expr,2,256,64,0.5610259698005566,0.5801739926739926,0.17761188519107618,0.1497530400337698,0.24112748271612194
250,ML210,RidgeSelectK,single_omics,expr,3,256,64,0.4267750025793814,0.35053056928314497,0.20685459023095662,0.17899893444270637,0.13348869908287309
250,ML210,RidgeSelectK,single_omics,expr,4,256,64,0.6366023388050526,0.6340240453683068,0.16062190398296963,0.12604873681509454,0.39350881424444384
250,ML210,RidgeSelectK,single_omics,expr,5,256,64,0.3779610559353921,0.3891025641025641,0.20403510270983485,0.1740385236421397,0.08020973891721528
500,ML210,RidgeSelectK,single_omics,expr,1,256,64,0.5058692498600111,0.4995020547723635,0.18781945878093198,0.15906987871030753,0.20824421764520662
500,ML210,RidgeSelectK,single_omics,expr,2,256,64,0.5983869594820874,0.616941391941392,0.17237475229702828,0.1451395859819508,0.2852205016500229
500,ML210,RidgeSelectK,single_omics,expr,3,256,64,0.4677118960113053,0.42942341375768733,0.20237508541956278,0.17183649136472276,0.17061152533554813
500,ML210,RidgeSelectK,single_omics,expr,4,256,64,0.6304383378056733,0.6200801414417856,0.16091759349194304,0.12763581487127265,0.3912737747640662
500,ML210,RidgeSelectK,single_omics,expr,5,256,64,0.4400895075727279,0.4600274725274724,0.19454835205580537,0.167700012368653,0.16375383759953843
1000,ML210,RidgeSelectK,single_omics,expr,1,256,64,0.5251465418361019,0.5225792420127403,0.18228676111073247,0.15445242264260564,0.2542035167851513
1000,ML210,RidgeSelectK,single_omics,expr,2,256,64,0.5747088486990927,0.5833333333333333,0.1738059170900549,0.1471208469102584,0.27330212147652677
1000,ML210,RidgeSelectK,single_omics,expr,3,256,64,0.5170599873256454,0.48945157342462,0.195178223143202,0.1684501044992324,0.22855205618405916
1000,ML210,RidgeSelectK,single_omics,expr,4,256,64,0.6066265915314308,0.5990612517791477,0.16447739684478538,0.13088121069500558,0.36404351248438094
1000,ML210,RidgeSelectK,single_omics,expr,5,256,64,0.4685466706312994,0.4957417582417582,0.19084231440701865,0.16474981777704156,0.19531042593567483
250,ML210,RidgeSelectK,metadata_augmented,expr_plus_lineage,1,256,64,0.525778050008036,0.5206332490410815,0.1840285286495191,0.15349247637492786,0.23988311137943874
250,ML210,RidgeSelectK,metadata_augmented,expr_plus_lineage,2,256,64,0.5621844776040505,0.5804029304029303,0.17749509517486164,0.14965576469753433,0.24212515913019217
250,ML210,RidgeSelectK,metadata_augmented,expr_plus_lineage,3,256,64,0.4266192979239063,0.35034741700345945,0.2068515339870193,0.1789556108655249,0.1335143040292579
250,ML210,RidgeSelectK,metadata_augmented,expr_plus_lineage,4,256,64,0.6366023388050526,0.6340240453683068,0.16062190398296963,0.12604873681509454,0.39350881424444384
250,ML210,RidgeSelectK,metadata_augmented,expr_plus_lineage,5,256,64,0.3765974692370311,0.39116300366300366,0.2041945882707255,0.17439085773834995,0.07877125509080951
500,ML210,RidgeSelectK,metadata_augmented,expr_plus_lineage,1,256,64,0.5115197728950449,0.4995020547723635,0.1867911639250263,0.15883549653751164,0.21689007022020845
500,ML210,RidgeSelectK,metadata_augmented,expr_plus_lineage,2,256,64,0.6012104229542011,0.6111263736263735,0.17181582709853166,0.14454450232588223,0.2898483321741512
500,ML210,RidgeSelectK,metadata_augmented,expr_plus_lineage,3,256,64,0.47491364028621613,0.4370929154695189,0.20152358216537927,0.17093597638283392,0.17757622893121017
500,ML210,RidgeSelectK,metadata_augmented,expr_plus_lineage,4,256,64,0.6396116306914162,0.6329937076397462,0.16020932412208916,0.13136633577850987,0.39662052780925117
500,ML210,RidgeSelectK,metadata_augmented,expr_plus_lineage,5,256,64,0.43945183891392303,0.46062271062271054,0.19447366222676343,0.16795299770423042,0.1643958075035723
1000,ML210,RidgeSelectK,metadata_augmented,expr_plus_lineage,1,256,64,0.533166014544532,0.5393376756039664,0.18097440740967127,0.15377185450595646,0.26490342248748144
1000,ML210,RidgeSelectK,metadata_augmented,expr_plus_lineage,2,256,64,0.5716725200341205,0.583562271062271,0.17381148582654984,0.14692847466907794,0.27325555397302426
1000,ML210,RidgeSelectK,metadata_augmented,expr_plus_lineage,3,256,64,0.5249878348081332,0.5019288224781968,0.19406293771005229,0.16707208830010126,0.23734326700359176
1000,ML210,RidgeSelectK,metadata_augmented,expr_plus_lineage,4,256,64,0.6174908656132501,0.6129364665237649,0.16285134434402754,0.12891815451358835,0.3765557119239482
1000,ML210,RidgeSelectK,metadata_augmented,expr_plus_lineage,5,256,64,0.4699879332982856,0.49706959706959697,0.19074488358009353,0.1649637751843529,0.196131853381314
250,ML210,RidgeSelectK,signal_fusion,signal_multiomics,1,256,64,0.5389130203735288,0.5419475955894852,0.18266085687711933,0.1554282919801533,0.25113927238577294
250,ML210,RidgeSelectK,signal_fusion,signal_multiomics,2,256,64,0.5050042647795945,0.5201923076923076,0.18382243587655334,0.15374801482773776,0.18712866172397125
250,ML210,RidgeSelectK,signal_fusion,signal_multiomics,3,256,64,0.43577795913916806,0.36092446115529886,0.20583031976001606,0.1770472205401008,0.14204876575612024
250,ML210,RidgeSelectK,signal_fusion,signal_multiomics,4,256,64,0.6381414207272812,0.6101202100656989,0.15910248382774228,0.12573358415260608,0.40492887992811577
250,ML210,RidgeSelectK,signal_fusion,signal_multiomics,5,256,64,0.40298813045871534,0.42967032967032964,0.20309143993992382,0.16801030781949777,0.08869812771178964
500,ML210,RidgeSelectK,signal_fusion,signal_multiomics,1,256,64,0.5615088577151263,0.5481060909939113,0.17884077959827444,0.14780926033108555,0.28213433303960433
500,ML210,RidgeSelectK,signal_fusion,signal_multiomics,2,256,64,0.5159357268313743,0.48237179487179477,0.18201927155409844,0.15266897128440982,0.20299779831418852
500,ML210,RidgeSelectK,signal_fusion,signal_multiomics,3,256,64,0.4421423684273671,0.3846884694444965,0.20480692641700612,0.17038626847268115,0.15055906502079108
500,ML210,RidgeSelectK,signal_fusion,signal_multiomics,4,256,64,0.6133694898176073,0.6366342342806605,0.16290720018403104,0.12973104376782224,0.37612797242373985
500,ML210,RidgeSelectK,signal_fusion,signal_multiomics,5,256,64,0.44240281733887393,0.45151098901098896,0.19468619064247758,0.1681668418926548,0.16256844773046486
1000,ML210,RidgeSelectK,signal_fusion,signal_multiomics,1,256,64,0.5059803483241833,0.49341224147281953,0.1851418542502273,0.15766009386515303,0.23065826543825751
1000,ML210,RidgeSelectK,signal_fusion,signal_multiomics,2,256,64,0.4982215700928153,0.4381410256410256,0.18339564626669058,0.15331383376666596,0.19089884682890645
1000,ML210,RidgeSelectK,signal_fusion,signal_multiomics,3,256,64,0.3602762838541783,0.33374924165695824,0.21830040703169312,0.18711119220509193,0.03494292972683721
1000,ML210,RidgeSelectK,signal_fusion,signal_multiomics,4,256,64,0.5947756533539696,0.6269948524201262,0.16595182599966565,0.13443233717037892,0.35259056384592546
1000,ML210,RidgeSelectK,signal_fusion,signal_multiomics,5,256,64,0.46637989003918595,0.47889194139194136,0.19284395318483571,0.16719039390828422,0.17834202228702833
250,ML210,RidgeSelectK,early_fusion,multiomics,1,256,64,0.5288977172060071,0.5337057430036363,0.18454516861027032,0.15418218630766928,0.23560923055214533
250,ML210,RidgeSelectK,early_fusion,multiomics,2,256,64,0.4646927827408829,0.46222527472527464,0.18551441187472106,0.15503613372635572,0.17209580170889405
250,ML210,RidgeSelectK,early_fusion,multiomics,3,256,64,0.43577795913916806,0.36092446115529886,0.20583031976001606,0.1770472205401008,0.14204876575612024
250,ML210,RidgeSelectK,early_fusion,multiomics,4,256,64,0.6582408000397164,0.6456554135040585,0.15572149885097325,0.12394511369315507,0.42995110947862014
250,ML210,RidgeSelectK,early_fusion,multiomics,5,256,64,0.40755354108419994,0.44958791208791204,0.2021510048542574,0.16693224158980696,0.09711833484487797
500,ML210,RidgeSelectK,early_fusion,multiomics,1,256,64,0.5535779324058042,0.569855424206568,0.17873382427301865,0.1493644742347368,0.2829927121760847
500,ML210,RidgeSelectK,early_fusion,multiomics,2,256,64,0.15498703506431885,0.3271520146520146,0.22474012650363054,0.17066991731665854,-0.21502725269868517
500,ML210,RidgeSelectK,early_fusion,multiomics,3,256,64,0.43091287970973713,0.4144507148933952,0.20606733977258318,0.17057321574051276,0.14007171305162425
500,ML210,RidgeSelectK,early_fusion,multiomics,4,256,64,0.6030619774980823,0.6008929632965889,0.16679270980818528,0.1348792971806762,0.34601304839775004
500,ML210,RidgeSelectK,early_fusion,multiomics,5,256,64,0.43224291063996567,0.4457875457875457,0.1956717659961929,0.16485951726284792,0.15406819388278936
1000,ML210,RidgeSelectK,early_fusion,multiomics,1,256,64,0.5324635068155712,0.537506152807111,0.18162108126937504,0.1505211581879217,0.2596406114523544
1000,ML210,RidgeSelectK,early_fusion,multiomics,2,256,64,0.21908320015406546,0.2860347985347985,0.21830547857355295,0.17233884438828945,-0.14644717077765912
1000,ML210,RidgeSelectK,early_fusion,multiomics,3,256,64,0.41874120498939116,0.3972115065679946,0.21231897083527893,0.18478962969910334,0.08710357430437221
1000,ML210,RidgeSelectK,early_fusion,multiomics,4,256,64,0.6222428510705207,0.6471207827180114,0.16362266716171187,0.13697040778613734,0.3706360112293935
1000,ML210,RidgeSelectK,early_fusion,multiomics,5,256,64,0.3756122079913899,0.4430860805860806,0.20415942854421867,0.17435796916395013,0.07908847566367883
